crop_name,state,year,month,price
Potato,All-India Average,2024,Mar,1602.6
Tomato,Andhra Pradesh,2021,Apr,620.0
Tomato,Andhra Pradesh,2021,May,567.0
Tomato,Andhra Pradesh,2021,Jun,733.0
Tomato,Andhra Pradesh,2021,Jul,1078.0
Tomato,Andhra Pradesh,2021,Aug,1385.0
Tomato,Andhra Pradesh,2021,Sep,1124.0
Tomato,Andhra Pradesh,2021,Oct,2792.0
Tomato,Andhra Pradesh,2021,Nov,4436.0
Tomato,Andhra Pradesh,2021,Dec,4555.0
Tomato,Andhra Pradesh,2022,Jan,1563.0
Tomato,Andhra Pradesh,2022,Feb,750.0
Tomato,Andhra Pradesh,2022,Mar,645.0
Tomato,All-India Average,2021,Apr,1109.1
Tomato,All-India Average,2021,May,1062.3
Tomato,All-India Average,2021,Jun,1327.4
Tomato,All-India Average,2021,Jul,1754.2
Tomato,All-India Average,2021,Aug,1739.4
Tomato,All-India Average,2021,Sep,1681.0
Tomato,All-India Average,2021,Oct,3239.8
Tomato,All-India Average,2021,Nov,3966.4
Tomato,All-India Average,2021,Dec,3368.5
Tomato,All-India Average,2022,Jan,1963.3
Tomato,All-India Average,2022,Feb,1646.7
Tomato,All-India Average,2022,Mar,1611.4
Tomato,Andhra Pradesh,2022,Apr,1043.0
Tomato,Andhra Pradesh,2022,May,480.0
Tomato,Andhra Pradesh,2022,Jun,3195.0
Tomato,Andhra Pradesh,2022,Jul,1067.0
Tomato,Andhra Pradesh,2022,Aug,1480.0
Tomato,Andhra Pradesh,2022,Sep,2765.0
Tomato,Andhra Pradesh,2022,Oct,2046.0
Tomato,Andhra Pradesh,2022,Nov,1132.0
Tomato,Andhra Pradesh,2022,Dec,981.0
Tomato,Andhra Pradesh,2023,Jan,1533.0
Tomato,Andhra Pradesh,2023,Feb,1494.0
Tomato,Andhra Pradesh,2023,Mar,959.0
Tomato,All-India Average,2022,Apr,1698.2
Tomato,All-India Average,2022,May,2936.4
Tomato,All-India Average,2022,Jun,3627.6
Tomato,All-India Average,2022,Jul,2150.8
Tomato,All-India Average,2022,Aug,2037.6
Tomato,All-India Average,2022,Sep,2594.6
Tomato,All-India Average,2022,Oct,2856.7
Tomato,All-India Average,2022,Nov,2073.7
Tomato,All-India Average,2022,Dec,1967.2
Tomato,All-India Average,2023,Jan,2546.4
Tomato,All-India Average,2023,Feb,2242.8
Tomato,All-India Average,2023,Mar,1786.0
Tomato,Andhra Pradesh,2023,Apr,680.4
Tomato,Andhra Pradesh,2023,May,1045.7
Tomato,Andhra Pradesh,2023,Jun,3227.7
Tomato,Andhra Pradesh,2023,Jul,11144.1
Tomato,Andhra Pradesh,2023,Aug,3062.9
Tomato,Andhra Pradesh,2023,Sep,1113.6
Tomato,Andhra Pradesh,2023,Oct,1480.5
Tomato,Andhra Pradesh,2023,Nov,2362.6
Tomato,Andhra Pradesh,2023,Dec,1643.6
Tomato,Andhra Pradesh,2024,Jan,1755.9
Tomato,Andhra Pradesh,2024,Feb,1439.5
Tomato,Andhra Pradesh,2024,Mar,1394.5
Tomato,All-India Average,2023,Apr,1326.0
Tomato,All-India Average,2023,May,1714.9
Tomato,All-India Average,2023,Jun,3070.5
Tomato,All-India Average,2023,Jul,7334.7
Tomato,All-India Average,2023,Aug,4619.3
Tomato,All-India Average,2023,Sep,2733.6
Tomato,All-India Average,2023,Oct,1777.5
Tomato,All-India Average,2023,Nov,3005.8
Tomato,All-India Average,2023,Dec,2636.8
Tomato,All-India Average,2024,Jan,1956.6
Tomato,All-India Average,2024,Feb,1992.9
Tomato,All-India Average,2024,Mar,2053.9
